Date,Open,High,Low,Close,Adj Close,Volume
2022-03-25,1008.0,1021.8,997.32,1010.64,1010.64,20677200
2022-03-28,1065.09,1097.88,1053.6,1091.85,1091.85,34168700
2022-03-29,1107.99,1114.77,1073.1,1099.56,1099.56,24538300
2022-03-30,1091.16,1113.96,1083.99,1093.98,1093.98,19955000
2022-03-31,1094.58,1103.13,1076.64,1077.6,1077.6,16330900
2022-04-01,1081.14,1094.76,1066.65,1084.59,1084.59,18087700
2022-04-04,1089.39,1149.9,1072.53,1145.46,1145.46,27345300
2022-04-05,1136.31,1152.87,1087.29,1091.25,1091.25,26691700
2022-04-06,1073.46,1079.01,1027.71,1045.77,1045.77,29782800
2022-04-07,1052.4,1076.58,1021.53,1057.26,1057.26,26482400
2022-04-08,1043.22,1048.44,1022.43,1025.49,1025.49,18337900
2022-04-11,980.4,1008.48,974.64,975.93,975.93,19785700
2022-04-12,997.65,1021.2,976.59,986.94,986.94,21992000
2022-04-13,981.09,1026.24,973.11,1022.37,1022.37,18373700
2022-04-14,999.3,1012.71,982.2,984.99,984.99,19474100
2022-04-18,989.04,1014.93,973.41,1004.28,1004.28,17238400
2022-04-19,1005.06,1034.94,995.34,1028.16,1028.16,16615900
2022-04-20,1029.99,1034.01,975.24,977.19,977.19,23570400
2022-04-21,1074.72,1092.21,996.42,1008.78,1008.78,35138800
2022-04-22,1014.9,1034.85,993.99,1005.06,1005.06,23232200
2022-04-25,978.96,1008.63,975.3,998.01,998.01,22780400
2022-04-26,995.43,999.99,875.01,876.42,876.42,45377900
2022-04-27,898.59,918.0,877.35,881.52,881.52,25652100
2022-04-28,899.97,900.0,821.7,877.5,877.5,41649500
2022-04-29,902.25,934.41,870.0,870.75,870.75,29377700
2022-05-02,860.76,906.36,848.04,902.94,902.94,25260500
2022-05-03,903.18,924.09,888.6,909.24,909.24,21236500
2022-05-04,903.93,955.5,885.27,952.62,952.62,27214600
2022-05-05,939.03,945.6,857.7,873.27,873.27,30839700
