Date,Open,High,Low,Close,Adj Close,Volume
2022-03-25,336,340.6,332.44,336.88,336.88,"62,031,600"
2022-03-28,355.03,365.96,351.2,363.95,363.95,"102,506,100"
2022-03-29,369.33,371.59,357.7,366.52,366.52,"73,614,900"
2022-03-30,363.72,371.32,361.33,364.66,364.66,"59,865,000"
2022-03-31,364.86,367.71,358.88,359.2,359.2,"48,992,700"
2022-04-01,360.38,364.92,355.55,361.53,361.53,"54,263,100"
2022-04-04,363.13,383.3,357.51,381.82,381.82,"82,035,900"
2022-04-05,378.77,384.29,362.43,363.75,363.75,"80,075,100"
2022-04-06,357.82,359.67,342.57,348.59,348.59,"89,348,400"
2022-04-07,350.8,358.86,340.51,352.42,352.42,"79,447,200"
2022-04-08,347.74,349.48,340.81,341.83,341.83,"55,013,700"
2022-04-11,326.8,336.16,324.88,325.31,325.31,"59,357,100"
2022-04-12,332.55,340.4,325.53,328.98,328.98,"65,976,000"
2022-04-13,327.03,342.08,324.37,340.79,340.79,"55,121,100"
2022-04-14,333.1,337.57,327.4,328.33,328.33,"58,422,300"
2022-04-18,329.68,338.31,324.47,334.76,334.76,"51,715,200"
2022-04-19,335.02,344.98,331.78,342.72,342.72,"49,847,700"
2022-04-20,343.33,344.67,325.08,325.73,325.73,"70,711,200"
2022-04-21,358.24,364.07,332.14,336.26,336.26,"105,416,400"
2022-04-22,338.3,344.95,331.33,335.02,335.02,"69,696,600"
2022-04-25,326.32,336.21,325.1,332.67,332.67,"68,341,200"
2022-04-26,331.81,333.33,291.67,292.14,292.14,"136,133,700"
2022-04-27,299.53,306,292.45,293.84,293.84,"76,956,300"
2022-04-28,299.99,300,273.9,292.5,292.5,"124,948,500"
2022-04-29,300.75,311.47,290,290.25,290.25,"88,133,100"
2022-05-02,286.92,302.12,282.68,300.98,300.98,"75,781,500"
2022-05-03,301.06,308.03,296.2,303.08,303.08,"63,709,500"
2022-05-04,301.31,318.5,295.09,317.54,317.54,"81,643,800"
2022-05-05,313.01,315.2,285.9,291.09,291.09,"92,519,100"
2022-05-06,295.67,296,281.04,288.55,288.55,"72,903,000"
2022-05-09,278.82,281.88,260.38,262.37,262.37,"90,810,300"
2022-05-10,273.1,275.12,258.08,266.68,266.68,"84,401,700"
2022-05-11,265,269.92,242.4,244.67,244.67,"97,224,600"
2022-05-12,233.67,253.22,226.67,242.67,242.67,"140,313,000"
2022-05-13,257.83,262.45,250.52,256.53,256.53,"92,150,700"
2022-05-16,255.72,256.59,239.7,241.46,241.46,"86,098,500"
2022-05-17,249.12,254.83,242.95,253.87,253.87,"80,236,200"
2022-05-18,248.17,253.5,233.6,236.6,236.6,"87,811,800"
2022-05-19,235.67,244.67,231.37,236.47,236.47,"90,296,700"
2022-05-20,238,240.53,211,221.3,221.3,"144,973,200"
2022-05-23,218.34,226.65,212.69,224.97,224.97,"88,903,500"
2022-05-24,217.84,217.97,206.86,209.39,209.39,"89,092,500"
2022-05-25,207.95,223.11,207.67,219.6,219.6,"92,139,300"
2022-05-26,220.47,239.56,217.89,235.91,235.91,"106,003,200"
2022-05-27,241.08,253.27,240.18,253.21,253.21,"89,295,000"
2022-05-31,257.95,259.6,244.74,252.75,252.75,"101,914,500"
2022-06-01,251.72,257.33,243.64,246.79,246.79,"77,247,900"
2022-06-02,244.16,264.21,242.07,258.33,258.33,"93,473,100"
2022-06-03,243.23,247.8,233.42,234.52,234.52,"112,393,800"
2022-06-06,244.35,244.87,234.35,238.28,238.28,"84,204,600"
2022-06-07,234,240,230.09,238.89,238.89,"72,808,500"
2022-06-08,240.09,249.96,239.18,241.87,241.87,"76,210,500"
2022-06-09,249.34,255.55,239.33,239.71,239.71,"96,491,400"
2022-06-10,235.16,239.5,227.91,232.23,232.23,"97,536,600"
2022-06-13,223.17,226.63,214.68,215.74,215.74,"102,767,400"
2022-06-14,218.29,226.33,211.74,220.89,220.89,"97,988,700"
2022-06-15,220.92,235.66,218.15,233,233,"119,131,800"
2022-06-16,222.74,225.17,208.69,213.1,213.1,"107,390,700"
2022-06-17,213.43,220.97,213.2,216.76,216.76,"92,641,800"
