Date,Open,Close,Volume,NextOpen
2010-06-29,3.8,4.778,93831500,5.158
2010-06-30,5.158,4.766,85935500,5.0
2010-07-01,5.0,4.392,41094000,4.6
2010-07-02,4.6,3.84,25699000,4.0
2010-07-06,4.0,3.222,34334500,3.28
2010-07-07,3.28,3.16,34608500,3.228
2010-07-08,3.228,3.492,38557000,3.516
2010-07-09,3.516,3.48,20253000,3.59
2010-07-12,3.59,3.41,11012500,3.478
2010-07-13,3.478,3.628,13400500,3.588
2010-07-14,3.588,3.968,20976000,3.988
2010-07-15,3.988,3.978,18699000,4.14
2010-07-16,4.14,4.128,13106500,4.274
2010-07-19,4.274,4.382,12432500,4.37
2010-07-20,4.37,4.06,9126500,4.132
2010-07-21,4.132,4.044,6262500,4.1
2010-07-22,4.1,4.2,4789000,4.238
2010-07-23,4.238,4.258,3268000,4.3
2010-07-26,4.3,4.19,4611000,4.182
2010-07-27,4.182,4.11,3098500,4.11
2010-07-28,4.11,4.144,2336000,4.154
2010-07-29,4.154,4.07,3080000,4.04
2010-07-30,4.04,3.988,2134500,4.1
2010-08-02,4.1,4.184,3590500,4.2
2010-08-03,4.2,4.39,6152500,4.39
2010-08-04,4.39,4.252,4565000,4.308
2010-08-05,4.308,4.09,3981000,4.02
2010-08-06,4.02,3.918,3709500,3.98
2010-08-09,3.98,3.92,4063500,3.93
2010-08-10,3.93,3.806,6406500,3.738
2010-08-11,3.738,3.58,3988000,3.56
2010-08-12,3.56,3.52,3455000,3.636
2010-08-13,3.636,3.664,3170000,3.69
2010-08-16,3.69,3.756,2429000,3.792
2010-08-17,3.792,3.83,2239500,3.918
2010-08-18,3.918,3.754,3006500,3.708
2010-08-19,3.708,3.758,2895500,3.73
2010-08-20,3.73,3.82,1480000,3.818
2010-08-23,3.818,4.026,5440500,3.85
2010-08-24,3.85,3.84,3365500,3.832
2010-08-25,3.832,3.98,2516500,3.978
2010-08-26,3.978,3.95,2169000,3.95
2010-08-27,3.95,3.94,1898000,3.94
2010-08-30,3.94,3.974,3664000,3.932
2010-08-31,3.932,3.896,1005500,3.924
2010-09-01,3.924,4.09,2474500,4.074
2010-09-02,4.074,4.212,2435500,4.174
2010-09-03,4.174,4.21,2173000,4.122
2010-09-07,4.122,4.108,1217000,4.132
2010-09-08,4.132,4.18,1442000,4.2
2010-09-09,4.2,4.142,1881000,4.15
2010-09-10,4.15,4.034,1933000,4.178
2010-09-13,4.178,4.144,1804000,4.108
2010-09-14,4.108,4.224,3273500,4.196
2010-09-15,4.196,4.396,3423000,4.43
2010-09-16,4.43,4.188,13422500,4.204
2010-09-17,4.204,4.046,5992500,4.134
2010-09-20,4.134,4.212,4737500,4.178
2010-09-21,4.178,4.154,3980000,4.174
2010-09-22,4.174,3.974,4814500,3.978
2010-09-23,3.978,3.912,3340500,3.99
2010-09-24,3.99,4.02,2894500,4.08
2010-09-27,4.08,4.106,2093000,4.208
2010-09-28,4.208,4.28,6072500,4.238
2010-09-29,4.238,4.396,9846500,4.4
2010-09-30,4.4,4.082,10979000,4.138
2010-10-01,4.138,4.12,2988500,4.086
2010-10-04,4.086,4.198,3218000,4.23
2010-10-05,4.23,4.224,1660000,4.212
2010-10-06,4.212,4.092,1567000,4.114
2010-10-07,4.114,4.086,705000,4.086
2010-10-08,4.086,4.086,1339000,4.088
2010-10-11,4.088,4.048,856000,4.04
2010-10-12,4.04,4.048,1220000,4.128
2010-10-13,4.128,4.108,1591000,4.2
2010-10-14,4.2,4.15,1474000,4.178
2010-10-15,4.178,4.108,1423500,4.104
2010-10-18,4.104,4.046,814000,4.04
2010-10-19,4.04,4.01,1226000,4.032
2010-10-20,4.032,4.13,1562500,4.122
2010-10-21,4.122,4.15,2085500,4.136
2010-10-22,4.136,4.144,805500,4.188
2010-10-25,4.188,4.17,592500,4.16
2010-10-26,4.16,4.272,3304500,4.25
2010-10-27,4.25,4.2,1782500,4.278
2010-10-28,4.278,4.238,1121000,4.228
2010-10-29,4.228,4.368,1403000,4.388
2010-11-01,4.388,4.282,2279000,4.336
2010-11-02,4.336,4.25,1612500,4.256
2010-11-03,4.256,4.354,1863000,4.52
2010-11-04,4.52,4.98,9370000,4.974
2010-11-05,4.974,4.888,5055000,4.9
2010-11-08,4.9,4.996,2547500,5.0
2010-11-09,5.0,4.926,4782000,4.896
2010-11-10,4.896,5.872,15302500,5.72
2010-11-11,5.72,5.608,9726500,5.65
2010-11-12,5.65,5.968,13645500,6.044
2010-11-15,6.044,6.16,13114500,6.2
2010-11-16,6.2,5.934,6738000,6.04
2010-11-17,6.04,5.898,3750000,6.134
2010-11-18,6.134,5.978,4780500,6.032
2010-11-19,6.032,6.198,5752500,6.314
2010-11-22,6.314,6.68,7648500,6.658
2010-11-23,6.658,6.914,7889000,7.054
2010-11-24,7.054,7.094,7125000,7.12
2010-11-26,7.12,7.064,1753000,7.082
2010-11-29,7.082,6.866,5728000,6.748
2010-11-30,6.748,7.066,11113000,7.174
2010-12-01,7.174,6.87,6496000,6.802
2010-12-02,6.802,6.47,10035000,6.402
2010-12-03,6.402,6.298,5800500,6.27
2010-12-06,6.27,6.062,6372000,6.098
2010-12-07,6.098,6.312,6556500,6.496
2010-12-08,6.496,6.474,3300000,6.502
2010-12-09,6.502,6.41,2030000,6.41
2010-12-10,6.41,6.304,2147000,6.328
2010-12-13,6.328,6.11,2052000,6.058
2010-12-14,6.058,5.706,8828500,5.734
2010-12-15,5.734,5.92,3714500,6.0
2010-12-16,6.0,6.162,3950500,6.268
2010-12-17,6.268,6.272,4065000,6.328
2010-12-20,6.328,6.34,2617000,6.36
2010-12-21,6.36,6.452,3888500,6.45
2010-12-22,6.45,6.526,4166500,6.252
2010-12-23,6.252,6.018,7763000,5.604
2010-12-27,5.604,5.11,46509500,5.17
2010-12-28,5.17,5.282,20281500,5.406
2010-12-29,5.406,5.546,16596000,5.54
2010-12-30,5.54,5.3,10205500,5.314
2010-12-31,5.314,5.326,7089500,5.368
2011-01-03,5.368,5.324,6415000,5.332
2011-01-04,5.332,5.334,5937000,5.296
2011-01-05,5.296,5.366,7233500,5.366
2011-01-06,5.366,5.576,10306000,5.6
2011-01-07,5.6,5.648,11239500,5.634
2011-01-10,5.634,5.69,6713500,5.718
2011-01-11,5.718,5.392,8551000,5.402
2011-01-12,5.402,5.392,4822000,5.392
2011-01-13,5.392,5.244,3618000,5.23
2011-01-14,5.23,5.15,5960000,5.096
2011-01-18,5.096,5.128,8108500,5.054
2011-01-19,5.054,4.806,11857500,4.806
2011-01-20,4.806,4.524,11399500,4.624
2011-01-21,4.624,4.608,6085000,4.706
2011-01-24,4.706,4.898,8225500,4.93
2011-01-25,4.93,4.936,6357500,4.942
2011-01-26,4.942,4.95,5399500,4.948
2011-01-27,4.948,4.984,4478500,4.976
2011-01-28,4.976,4.802,5242000,4.81
2011-01-31,4.81,4.82,4151500,4.862
2011-02-01,4.862,4.782,3539000,4.832
2011-02-02,4.832,4.788,2847500,4.764
2011-02-03,4.764,4.726,2560000,4.688
2011-02-04,4.688,4.692,2720000,4.652
2011-02-07,4.652,4.614,4475500,4.756
2011-02-08,4.756,4.898,17524500,4.826
2011-02-09,4.826,4.642,13178000,4.652
2011-02-10,4.652,4.644,4180500,4.65
2011-02-11,4.65,4.65,3172500,4.728
2011-02-14,4.728,4.616,6415500,4.602
2011-02-15,4.602,4.568,4768500,4.62
2011-02-16,4.62,4.946,20575500,4.926
2011-02-17,4.926,4.72,13092000,4.666
2011-02-18,4.666,4.636,11853500,4.576
2011-02-22,4.576,4.374,10323000,4.436
2011-02-23,4.436,4.366,8028000,4.356
2011-02-24,4.356,4.506,5276500,4.562
2011-02-25,4.562,4.722,6731500,4.748
2011-02-28,4.748,4.778,5256000,4.81
2011-03-01,4.81,4.788,5532000,4.764
2011-03-02,4.764,4.804,3316500,4.896
2011-03-03,4.896,4.872,3201000,4.896
2011-03-04,4.896,4.99,7900500,4.986
2011-03-07,4.986,4.988,10168000,4.92
2011-03-08,4.92,4.932,6999500,4.932
2011-03-09,4.932,4.944,4624000,4.888
2011-03-10,4.888,4.802,5085000,4.77
2011-03-11,4.77,4.814,4654000,4.764
2011-03-14,4.764,4.65,5830000,4.44
2011-03-15,4.44,4.59,6594000,4.572
2011-03-16,4.572,4.564,5848500,4.648
2011-03-17,4.648,4.562,4613000,4.638
2011-03-18,4.638,4.592,3439500,4.61
2011-03-21,4.61,4.546,2058500,4.546
2011-03-22,4.546,4.438,2914500,4.422
2011-03-23,4.422,4.442,2114000,4.428
2011-03-24,4.428,4.466,2311000,4.486
2011-03-25,4.486,4.55,2840000,4.54
2011-03-28,4.54,4.65,5290500,4.66
2011-03-29,4.66,4.784,3777000,4.822
